employee_id,department,satisfaction_score,years_employed,remote_work_days,salary_band
E001,Engineering,8,3,4,75000-100000
E002,Marketing,6,1,2,50000-75000
E003,Sales,9,5,3,100000-150000
E004,Engineering,7,2,5,75000-100000
E005,HR,8,4,1,50000-75000
E006,Sales,9,6,2,100000-150000
E007,Engineering,6,1,4,50000-75000
E008,Marketing,7,3,3,75000-100000
E009,Finance,8,7,2,100000-150000
E010,Engineering,9,4,5,100000-150000
E011,HR,5,2,1,50000-75000
E012,Sales,8,5,3,100000-150000
E013,Marketing,7,3,2,75000-100000
E014,Engineering,9,6,4,100000-150000
E015,Finance,6,2,2,75000-100000
E016,Sales,8,4,3,100000-150000
E017,HR,7,5,1,75000-100000
E018,Engineering,9,8,5,150000-200000
E019,Marketing,6,1,2,50000-75000
E020,Sales,8,3,3,75000-100000
